sensor_id,timestamp,temperature,humidity,aqi,noise
sensor_1,2026-03-12T20:25:14+00:00,27.7,58,176,69
sensor_2,2026-03-12T20:25:14+00:00,24.6,45,42,83
sensor_3,2026-03-12T20:25:14+00:00,30.3,51,133,86
sensor_4,2026-03-12T20:25:14+00:00,28.9,50,48,66
sensor_5,2026-03-12T20:25:14+00:00,31.8,58,76,43
sensor_1,2026-03-12T20:25:16+00:00,31.5,47,137,70
sensor_2,2026-03-12T20:25:16+00:00,24.2,88,89,59
sensor_3,2026-03-12T20:25:16+00:00,21.7,83,21,95
sensor_4,2026-03-12T20:25:16+00:00,27.8,58,29,35
sensor_5,2026-03-12T20:25:16+00:00,26.6,36,148,37
sensor_1,2026-03-12T20:25:18+00:00,38.5,39,216,63
sensor_2,2026-03-12T20:25:18+00:00,34.4,83,157,44
sensor_3,2026-03-12T20:25:18+00:00,35.4,40,111,52
sensor_4,2026-03-12T20:25:18+00:00,27.1,38,35,60
sensor_5,2026-03-12T20:25:18+00:00,27.2,68,216,75
sensor_1,2026-03-12T20:25:20+00:00,34.1,52,145,36
sensor_2,2026-03-12T20:25:20+00:00,18.2,51,30,39
sensor_3,2026-03-12T20:25:20+00:00,33.2,69,209,80
sensor_4,2026-03-12T20:25:20+00:00,19.1,30,217,89
sensor_5,2026-03-12T20:25:20+00:00,32.4,50,100,36
sensor_1,2026-03-12T20:25:22+00:00,26.1,68,200,38
sensor_2,2026-03-12T20:25:22+00:00,27.0,66,21,53
sensor_3,2026-03-12T20:25:22+00:00,30.4,43,148,76
sensor_4,2026-03-12T20:25:22+00:00,21.4,34,74,76
sensor_5,2026-03-12T20:25:22+00:00,19.4,35,31,54
sensor_1,2026-03-12T20:25:24+00:00,19.1,82,153,50
sensor_2,2026-03-12T20:25:24+00:00,19.2,44,35,58
sensor_3,2026-03-12T20:25:24+00:00,36.6,73,120,64
sensor_4,2026-03-12T20:25:24+00:00,31.6,87,185,91
sensor_5,2026-03-12T20:25:24+00:00,26.2,90,202,52
sensor_1,2026-03-12T20:25:26+00:00,30.1,41,141,37
sensor_2,2026-03-12T20:25:26+00:00,35.0,75,191,51
sensor_3,2026-03-12T20:25:26+00:00,18.3,83,159,80
sensor_4,2026-03-12T20:25:26+00:00,29.6,65,95,55
sensor_5,2026-03-12T20:25:26+00:00,36.2,44,77,59
sensor_1,2026-03-12T20:25:28+00:00,23.4,75,40,35
sensor_2,2026-03-12T20:25:28+00:00,34.4,58,21,61
sensor_3,2026-03-12T20:25:28+00:00,37.6,76,205,93
sensor_4,2026-03-12T20:25:28+00:00,28.5,60,189,55
sensor_5,2026-03-12T20:25:28+00:00,36.2,77,53,89
sensor_1,2026-03-12T20:25:30+00:00,21.5,20,21,81
sensor_2,2026-03-12T20:25:30+00:00,26.5,27,23,78
sensor_3,2026-03-12T20:25:30+00:00,38.5,57,91,59
sensor_4,2026-03-12T20:25:30+00:00,39.7,64,100,53
sensor_5,2026-03-12T20:25:30+00:00,31.5,32,59,48
sensor_1,2026-03-12T20:25:32+00:00,35.7,21,116,90
sensor_2,2026-03-12T20:25:32+00:00,34.5,30,213,87
sensor_3,2026-03-12T20:25:32+00:00,25.4,23,166,81
sensor_4,2026-03-12T20:25:32+00:00,38.3,73,25,33
sensor_5,2026-03-12T20:25:32+00:00,19.9,61,179,47
sensor_1,2026-03-12T20:25:34+00:00,19.2,77,160,64
sensor_2,2026-03-12T20:25:34+00:00,36.5,42,118,64
sensor_3,2026-03-12T20:25:34+00:00,28.2,68,58,84
sensor_4,2026-03-12T20:25:34+00:00,28.2,87,220,77
sensor_5,2026-03-12T20:25:34+00:00,23.0,66,52,95
sensor_1,2026-03-12T20:25:36+00:00,18.8,54,157,61
sensor_2,2026-03-12T20:25:36+00:00,26.7,64,189,77
sensor_3,2026-03-12T20:25:36+00:00,21.0,84,89,44
sensor_4,2026-03-12T20:25:36+00:00,18.1,31,130,32
sensor_5,2026-03-12T20:25:36+00:00,36.9,32,160,76
sensor_1,2026-03-12T20:25:38+00:00,27.9,63,42,43
sensor_2,2026-03-12T20:25:38+00:00,32.7,48,97,79
sensor_3,2026-03-12T20:25:38+00:00,19.0,27,191,80
sensor_4,2026-03-12T20:25:38+00:00,35.3,77,78,79
sensor_5,2026-03-12T20:25:38+00:00,21.7,54,37,55
sensor_1,2026-03-12T20:25:40+00:00,27.9,74,121,64
sensor_2,2026-03-12T20:25:40+00:00,18.3,44,126,89
sensor_3,2026-03-12T20:25:40+00:00,37.5,35,49,57
sensor_4,2026-03-12T20:25:40+00:00,18.4,66,168,87
sensor_5,2026-03-12T20:25:40+00:00,20.4,33,23,30
sensor_1,2026-03-12T20:25:42+00:00,22.0,53,51,61
sensor_2,2026-03-12T20:25:42+00:00,25.1,20,135,92
sensor_3,2026-03-12T20:25:42+00:00,18.3,30,82,46
sensor_4,2026-03-12T20:25:42+00:00,30.9,87,156,47
sensor_5,2026-03-12T20:25:42+00:00,21.0,23,32,33
sensor_1,2026-03-12T20:25:44+00:00,35.3,86,198,46
sensor_2,2026-03-12T20:25:44+00:00,33.7,25,166,37
sensor_3,2026-03-12T20:25:44+00:00,25.7,48,130,30
sensor_4,2026-03-12T20:25:44+00:00,31.6,27,127,35
sensor_5,2026-03-12T20:25:44+00:00,36.2,42,31,45
sensor_1,2026-03-12T20:25:46+00:00,30.7,87,197,41
sensor_2,2026-03-12T20:25:46+00:00,24.9,22,178,39
sensor_3,2026-03-12T20:25:46+00:00,31.8,61,141,62
sensor_4,2026-03-12T20:25:46+00:00,34.5,22,172,69
sensor_5,2026-03-12T20:25:46+00:00,31.3,33,56,45
sensor_1,2026-03-12T20:25:48+00:00,36.4,68,41,44
sensor_2,2026-03-12T20:25:48+00:00,36.6,25,71,45
sensor_3,2026-03-12T20:25:48+00:00,28.1,75,168,43
sensor_4,2026-03-12T20:25:48+00:00,35.0,84,211,82
sensor_5,2026-03-12T20:25:48+00:00,19.6,29,184,93
sensor_1,2026-03-12T20:25:50+00:00,36.6,62,28,83
sensor_2,2026-03-12T20:25:50+00:00,30.5,46,186,47
sensor_3,2026-03-12T20:25:50+00:00,29.2,20,177,50
sensor_4,2026-03-12T20:25:50+00:00,32.7,51,160,51
sensor_5,2026-03-12T20:25:50+00:00,29.0,88,185,73
sensor_1,2026-03-12T20:25:52+00:00,24.7,86,111,54
sensor_2,2026-03-12T20:25:52+00:00,27.8,90,56,38
sensor_3,2026-03-12T20:25:52+00:00,29.3,49,175,31
sensor_4,2026-03-12T20:25:52+00:00,26.2,34,160,38
sensor_5,2026-03-12T20:25:52+00:00,22.0,35,166,37
sensor_1,2026-03-12T20:25:54+00:00,39.2,59,104,63
sensor_2,2026-03-12T20:25:54+00:00,19.4,66,180,71
sensor_3,2026-03-12T20:25:54+00:00,33.9,44,196,68
sensor_4,2026-03-12T20:25:54+00:00,19.4,90,123,73
sensor_5,2026-03-12T20:25:54+00:00,21.0,85,179,57
sensor_1,2026-03-12T20:25:56+00:00,33.6,58,187,47
sensor_2,2026-03-12T20:25:56+00:00,24.9,62,197,64
sensor_3,2026-03-12T20:25:56+00:00,27.8,70,99,38
sensor_4,2026-03-12T20:25:56+00:00,22.9,38,60,44
sensor_5,2026-03-12T20:25:56+00:00,27.9,49,70,89
sensor_1,2026-03-12T20:25:58+00:00,22.3,86,63,30
sensor_2,2026-03-12T20:25:58+00:00,39.5,50,102,48
sensor_3,2026-03-12T20:25:58+00:00,32.8,38,189,68
sensor_4,2026-03-12T20:25:58+00:00,23.8,49,164,69
sensor_5,2026-03-12T20:25:58+00:00,33.3,81,105,56
sensor_1,2026-03-12T20:26:00+00:00,39.2,55,28,32
sensor_2,2026-03-12T20:26:00+00:00,27.9,69,39,33
sensor_3,2026-03-12T20:26:00+00:00,39.6,78,141,69
sensor_4,2026-03-12T20:26:00+00:00,28.1,25,217,75
sensor_5,2026-03-12T20:26:00+00:00,33.8,23,28,37
sensor_1,2026-03-12T20:26:02+00:00,24.1,67,168,43
sensor_2,2026-03-12T20:26:02+00:00,21.4,73,62,79
sensor_3,2026-03-12T20:26:02+00:00,28.3,87,196,59
sensor_4,2026-03-12T20:26:02+00:00,32.0,74,191,43
sensor_5,2026-03-12T20:26:02+00:00,33.3,59,160,66
sensor_1,2026-03-12T20:26:04+00:00,23.5,74,78,40
sensor_2,2026-03-12T20:26:04+00:00,26.2,69,93,52
sensor_3,2026-03-12T20:26:04+00:00,29.3,64,33,67
sensor_4,2026-03-12T20:26:04+00:00,34.5,86,84,77
sensor_5,2026-03-12T20:26:04+00:00,18.6,37,66,83
sensor_1,2026-03-12T20:26:06+00:00,18.5,56,191,31
sensor_2,2026-03-12T20:26:06+00:00,28.9,81,65,34
sensor_3,2026-03-12T20:26:06+00:00,32.3,41,135,76
sensor_4,2026-03-12T20:26:06+00:00,32.7,85,71,51
sensor_5,2026-03-12T20:26:06+00:00,26.0,73,24,57
sensor_1,2026-03-12T20:26:08+00:00,24.1,49,99,64
sensor_2,2026-03-12T20:26:08+00:00,35.7,38,82,57
sensor_3,2026-03-12T20:26:08+00:00,35.6,34,141,76
sensor_4,2026-03-12T20:26:08+00:00,31.8,47,117,60
sensor_5,2026-03-12T20:26:08+00:00,24.2,25,64,74
sensor_1,2026-03-12T20:26:10+00:00,22.9,44,218,67
sensor_2,2026-03-12T20:26:10+00:00,18.0,38,62,70
sensor_3,2026-03-12T20:26:10+00:00,38.8,57,151,31
sensor_4,2026-03-12T20:26:10+00:00,30.4,67,23,95
sensor_5,2026-03-12T20:26:10+00:00,35.6,85,43,34
sensor_1,2026-03-12T20:26:12+00:00,23.0,55,197,67
sensor_2,2026-03-12T20:26:12+00:00,36.6,24,189,36
sensor_3,2026-03-12T20:26:12+00:00,38.9,76,109,90
sensor_4,2026-03-12T20:26:12+00:00,23.8,72,184,93
sensor_5,2026-03-12T20:26:12+00:00,36.6,81,219,47
sensor_1,2026-03-12T20:26:14+00:00,21.9,87,178,89
sensor_2,2026-03-12T20:26:14+00:00,38.1,22,32,47
sensor_3,2026-03-12T20:26:14+00:00,34.3,54,84,39
sensor_4,2026-03-12T20:26:14+00:00,33.4,49,55,68
sensor_5,2026-03-12T20:26:14+00:00,25.8,73,167,89
sensor_1,2026-03-12T20:26:16+00:00,32.2,49,215,48
sensor_2,2026-03-12T20:26:16+00:00,30.6,26,90,64
sensor_3,2026-03-12T20:26:16+00:00,31.3,22,63,59
sensor_4,2026-03-12T20:26:16+00:00,18.3,36,159,46
sensor_5,2026-03-12T20:26:16+00:00,21.4,44,96,85
sensor_1,2026-03-12T20:26:18+00:00,33.2,23,171,83
sensor_2,2026-03-12T20:26:18+00:00,31.2,35,220,69
sensor_3,2026-03-12T20:26:18+00:00,34.0,41,116,89
sensor_4,2026-03-12T20:26:18+00:00,26.8,23,35,94
sensor_5,2026-03-12T20:26:18+00:00,28.0,52,29,63
sensor_1,2026-03-12T20:26:20+00:00,20.2,36,40,86
sensor_2,2026-03-12T20:26:20+00:00,23.4,31,74,53
sensor_3,2026-03-12T20:26:20+00:00,28.3,43,96,51
sensor_4,2026-03-12T20:26:20+00:00,24.2,86,75,49
sensor_5,2026-03-12T20:26:20+00:00,25.8,63,107,54
sensor_1,2026-03-12T20:26:22+00:00,25.7,26,178,80
sensor_2,2026-03-12T20:26:22+00:00,21.1,55,217,51
sensor_3,2026-03-12T20:26:22+00:00,18.8,41,162,81
sensor_4,2026-03-12T20:26:22+00:00,31.6,80,158,65
sensor_5,2026-03-12T20:26:22+00:00,30.7,33,83,68
sensor_1,2026-03-12T20:26:24+00:00,23.9,29,64,63
sensor_2,2026-03-12T20:26:24+00:00,19.8,26,124,55
sensor_3,2026-03-12T20:26:24+00:00,38.7,70,148,60
sensor_4,2026-03-12T20:26:24+00:00,20.0,46,159,55
sensor_5,2026-03-12T20:26:24+00:00,29.5,90,27,81
sensor_1,2026-03-12T20:26:26+00:00,27.8,22,140,65
sensor_2,2026-03-12T20:26:26+00:00,24.6,82,32,33
sensor_3,2026-03-12T20:26:26+00:00,18.9,37,73,74
sensor_4,2026-03-12T20:26:26+00:00,22.6,57,187,50
sensor_5,2026-03-12T20:26:26+00:00,26.9,66,38,74
sensor_1,2026-03-12T20:26:28+00:00,33.0,68,142,93
sensor_2,2026-03-12T20:26:28+00:00,33.3,59,199,57
sensor_3,2026-03-12T20:26:28+00:00,20.6,59,140,40
sensor_4,2026-03-12T20:26:28+00:00,39.0,37,192,88
sensor_5,2026-03-12T20:26:28+00:00,29.3,57,61,36
sensor_1,2026-03-12T20:26:30+00:00,27.7,58,30,42
sensor_2,2026-03-12T20:26:30+00:00,28.1,84,133,49
sensor_3,2026-03-12T20:26:30+00:00,30.1,39,179,88
sensor_4,2026-03-12T20:26:30+00:00,39.1,67,88,79
sensor_5,2026-03-12T20:26:30+00:00,19.1,76,175,46
sensor_1,2026-03-12T20:26:32+00:00,35.1,24,203,36
sensor_2,2026-03-12T20:26:32+00:00,25.8,68,52,85
sensor_3,2026-03-12T20:26:32+00:00,30.3,61,105,68
sensor_4,2026-03-12T20:26:32+00:00,38.0,54,66,87
sensor_5,2026-03-12T20:26:32+00:00,27.5,24,76,58
sensor_1,2026-03-12T20:26:34+00:00,21.2,64,200,63
sensor_2,2026-03-12T20:26:34+00:00,35.0,21,172,94
sensor_3,2026-03-12T20:26:34+00:00,33.7,86,104,38
sensor_4,2026-03-12T20:26:34+00:00,18.6,64,129,83
sensor_5,2026-03-12T20:26:34+00:00,35.4,24,124,62
sensor_1,2026-03-12T20:26:36+00:00,26.9,20,21,93
sensor_2,2026-03-12T20:26:36+00:00,23.9,69,91,79
sensor_3,2026-03-12T20:26:36+00:00,35.2,66,53,38
sensor_4,2026-03-12T20:26:36+00:00,22.6,34,54,50
sensor_5,2026-03-12T20:26:36+00:00,36.4,30,108,65
sensor_1,2026-03-12T20:26:38+00:00,34.6,34,31,61
sensor_2,2026-03-12T20:26:38+00:00,35.1,61,148,50
sensor_3,2026-03-12T20:26:38+00:00,20.0,51,200,35
sensor_4,2026-03-12T20:26:38+00:00,37.3,65,75,50
sensor_5,2026-03-12T20:26:38+00:00,28.2,67,37,67
sensor_1,2026-03-12T20:26:40+00:00,20.4,37,197,74
sensor_2,2026-03-12T20:26:40+00:00,20.5,52,195,49
sensor_3,2026-03-12T20:26:40+00:00,19.8,33,51,58
sensor_4,2026-03-12T20:26:40+00:00,21.5,60,61,90
sensor_5,2026-03-12T20:26:40+00:00,28.0,76,115,62
sensor_1,2026-03-12T20:26:42+00:00,22.0,53,110,53
sensor_2,2026-03-12T20:26:42+00:00,33.9,72,78,84
sensor_3,2026-03-12T20:26:42+00:00,32.8,76,190,47
sensor_4,2026-03-12T20:26:42+00:00,22.0,63,76,51
sensor_5,2026-03-12T20:26:42+00:00,26.0,82,148,35
sensor_1,2026-03-12T20:26:44+00:00,34.5,85,20,58
sensor_2,2026-03-12T20:26:44+00:00,37.6,21,131,35
sensor_3,2026-03-12T20:26:44+00:00,32.2,27,151,56
sensor_4,2026-03-12T20:26:44+00:00,33.7,47,213,58
sensor_5,2026-03-12T20:26:44+00:00,18.6,89,138,83
sensor_1,2026-03-12T20:26:46+00:00,23.6,20,182,77
sensor_2,2026-03-12T20:26:46+00:00,29.0,20,203,37
sensor_3,2026-03-12T20:26:46+00:00,23.2,37,103,79
sensor_4,2026-03-12T20:26:46+00:00,31.1,34,25,46
sensor_5,2026-03-12T20:26:46+00:00,31.2,50,133,52
sensor_1,2026-03-12T20:26:48+00:00,19.7,86,115,46
sensor_2,2026-03-12T20:26:48+00:00,23.3,63,180,38
sensor_3,2026-03-12T20:26:48+00:00,18.3,50,143,37
sensor_4,2026-03-12T20:26:48+00:00,36.3,53,99,58
sensor_5,2026-03-12T20:26:48+00:00,35.3,67,21,90
sensor_1,2026-03-12T20:26:50+00:00,34.7,49,127,91
sensor_2,2026-03-12T20:26:50+00:00,37.1,42,135,64
sensor_3,2026-03-12T20:26:50+00:00,37.8,84,84,50
sensor_4,2026-03-12T20:26:50+00:00,27.8,45,132,73
sensor_5,2026-03-12T20:26:50+00:00,24.9,25,74,64
sensor_1,2026-03-12T20:26:52+00:00,27.6,74,34,47
sensor_2,2026-03-12T20:26:52+00:00,26.7,42,126,65
sensor_3,2026-03-12T20:26:52+00:00,34.2,31,67,36
sensor_4,2026-03-12T20:26:52+00:00,24.1,52,109,81
sensor_5,2026-03-12T20:26:52+00:00,27.2,68,24,42
sensor_1,2026-03-12T20:26:54+00:00,35.3,82,136,63
sensor_2,2026-03-12T20:26:54+00:00,28.5,52,65,33
sensor_3,2026-03-12T20:26:54+00:00,36.4,68,89,68
sensor_4,2026-03-12T20:26:54+00:00,21.2,90,202,44
sensor_5,2026-03-12T20:26:54+00:00,35.7,61,118,36
sensor_1,2026-03-12T20:26:56+00:00,27.7,26,195,44
sensor_2,2026-03-12T20:26:56+00:00,27.8,83,175,69
sensor_3,2026-03-12T20:26:56+00:00,24.5,56,162,73
sensor_4,2026-03-12T20:26:56+00:00,20.1,86,129,54
sensor_5,2026-03-12T20:26:56+00:00,36.2,56,75,73
sensor_1,2026-03-12T20:26:58+00:00,38.8,22,199,64
sensor_2,2026-03-12T20:26:58+00:00,22.0,31,75,30
sensor_3,2026-03-12T20:26:58+00:00,37.1,38,196,50
sensor_4,2026-03-12T20:26:58+00:00,33.6,47,205,69
sensor_5,2026-03-12T20:26:58+00:00,36.9,82,217,60
sensor_1,2026-03-12T20:27:00+00:00,21.1,28,211,45
sensor_2,2026-03-12T20:27:00+00:00,24.6,81,192,92
sensor_3,2026-03-12T20:27:00+00:00,37.5,29,158,46
sensor_4,2026-03-12T20:27:00+00:00,20.0,36,157,86
sensor_5,2026-03-12T20:27:00+00:00,27.0,42,39,71
sensor_1,2026-03-12T20:27:02+00:00,23.4,69,171,55
sensor_2,2026-03-12T20:27:02+00:00,29.0,34,48,86
sensor_3,2026-03-12T20:27:02+00:00,39.2,30,101,59
sensor_4,2026-03-12T20:27:02+00:00,32.4,55,49,37
sensor_5,2026-03-12T20:27:02+00:00,38.4,72,115,94
sensor_1,2026-03-12T20:27:04+00:00,35.7,81,89,83
sensor_2,2026-03-12T20:27:04+00:00,32.5,36,190,70
sensor_3,2026-03-12T20:27:04+00:00,31.9,33,169,66
sensor_4,2026-03-12T20:27:04+00:00,33.0,42,59,47
sensor_5,2026-03-12T20:27:04+00:00,29.2,85,107,87
sensor_1,2026-03-12T20:27:06+00:00,24.0,60,203,75
sensor_2,2026-03-12T20:27:06+00:00,33.8,51,209,80
sensor_3,2026-03-12T20:27:06+00:00,32.7,30,163,68
sensor_4,2026-03-12T20:27:06+00:00,39.4,41,91,53
sensor_5,2026-03-12T20:27:06+00:00,18.8,24,208,62
sensor_1,2026-03-12T20:27:08+00:00,23.3,40,176,62
sensor_2,2026-03-12T20:27:08+00:00,35.2,33,170,45
sensor_3,2026-03-12T20:27:08+00:00,28.6,60,196,45
sensor_4,2026-03-12T20:27:08+00:00,37.4,39,220,57
sensor_5,2026-03-12T20:27:08+00:00,25.7,73,162,55
sensor_1,2026-03-12T20:27:10+00:00,33.0,21,201,45
sensor_2,2026-03-12T20:27:10+00:00,19.1,62,31,52
sensor_3,2026-03-12T20:27:10+00:00,30.8,23,119,61
sensor_4,2026-03-12T20:27:10+00:00,20.0,54,47,83
sensor_5,2026-03-12T20:27:10+00:00,33.1,71,186,39
sensor_1,2026-03-12T20:27:12+00:00,21.0,32,190,71
sensor_2,2026-03-12T20:27:12+00:00,24.9,20,55,86
sensor_3,2026-03-12T20:27:12+00:00,31.1,81,85,43
sensor_4,2026-03-12T20:27:12+00:00,30.4,21,87,38
sensor_5,2026-03-12T20:27:12+00:00,21.4,36,77,94
sensor_1,2026-03-12T20:27:14+00:00,31.0,63,72,85
sensor_2,2026-03-12T20:27:14+00:00,28.1,26,167,31
sensor_3,2026-03-12T20:27:14+00:00,24.1,27,131,75
sensor_4,2026-03-12T20:27:14+00:00,21.5,69,199,94
sensor_5,2026-03-12T20:27:14+00:00,39.6,73,181,47
sensor_1,2026-03-12T20:27:16+00:00,25.3,45,172,42
sensor_2,2026-03-12T20:27:16+00:00,23.3,41,29,59
sensor_3,2026-03-12T20:27:16+00:00,36.2,24,113,34
sensor_4,2026-03-12T20:27:16+00:00,38.4,80,176,32
sensor_5,2026-03-12T20:27:16+00:00,39.6,33,150,35
sensor_1,2026-03-12T20:27:18+00:00,19.7,26,28,95
sensor_2,2026-03-12T20:27:18+00:00,20.9,81,63,65
sensor_3,2026-03-12T20:27:18+00:00,31.0,59,29,38
sensor_4,2026-03-12T20:27:18+00:00,27.1,52,104,88
sensor_5,2026-03-12T20:27:18+00:00,19.5,59,216,79
sensor_1,2026-03-12T20:27:20+00:00,21.9,26,135,76
sensor_2,2026-03-12T20:27:20+00:00,37.0,64,125,91
sensor_3,2026-03-12T20:27:20+00:00,27.4,43,106,87
sensor_4,2026-03-12T20:27:20+00:00,37.4,49,183,30
sensor_5,2026-03-12T20:27:20+00:00,26.1,31,162,39
sensor_1,2026-03-12T20:27:22+00:00,39.8,38,131,48
sensor_2,2026-03-12T20:27:22+00:00,28.8,50,200,73
sensor_3,2026-03-12T20:27:22+00:00,38.9,26,156,64
sensor_4,2026-03-12T20:27:22+00:00,39.6,65,65,77
sensor_5,2026-03-12T20:27:22+00:00,27.4,76,170,71
sensor_1,2026-03-12T20:27:24+00:00,24.6,64,189,41
sensor_2,2026-03-12T20:27:24+00:00,24.6,73,108,77
sensor_3,2026-03-12T20:27:24+00:00,33.1,55,82,66
sensor_4,2026-03-12T20:27:24+00:00,34.3,76,114,92
sensor_5,2026-03-12T20:27:24+00:00,33.2,79,53,34
sensor_1,2026-03-12T20:27:26+00:00,19.9,36,30,46
sensor_2,2026-03-12T20:27:26+00:00,29.9,35,32,67
sensor_3,2026-03-12T20:27:26+00:00,29.1,61,214,53
sensor_4,2026-03-12T20:27:26+00:00,21.8,84,66,55
sensor_5,2026-03-12T20:27:26+00:00,25.7,54,53,94
sensor_1,2026-03-12T20:27:28+00:00,39.1,23,73,30
sensor_2,2026-03-12T20:27:28+00:00,30.1,71,70,94
sensor_3,2026-03-12T20:27:28+00:00,30.5,73,95,45
sensor_4,2026-03-12T20:27:28+00:00,35.3,55,65,39
sensor_5,2026-03-12T20:27:28+00:00,19.7,22,136,45
sensor_1,2026-03-12T20:27:30+00:00,23.1,31,115,33
sensor_2,2026-03-12T20:27:30+00:00,27.8,40,166,95
sensor_3,2026-03-12T20:27:30+00:00,32.9,52,55,47
sensor_4,2026-03-12T20:27:30+00:00,39.5,85,153,34
sensor_5,2026-03-12T20:27:30+00:00,27.6,31,83,59
sensor_1,2026-03-12T20:27:32+00:00,20.9,26,169,47
sensor_2,2026-03-12T20:27:32+00:00,26.5,43,193,55
sensor_3,2026-03-12T20:27:32+00:00,26.2,54,75,60
sensor_4,2026-03-12T20:27:32+00:00,32.2,89,181,82
sensor_5,2026-03-12T20:27:32+00:00,21.8,24,35,90
sensor_1,2026-03-12T20:27:34+00:00,38.0,34,50,80
sensor_2,2026-03-12T20:27:34+00:00,28.3,22,31,48
sensor_3,2026-03-12T20:27:34+00:00,22.9,27,216,76
sensor_4,2026-03-12T20:27:34+00:00,30.7,56,22,54
sensor_5,2026-03-12T20:27:34+00:00,32.3,86,36,76
sensor_1,2026-03-12T20:27:36+00:00,37.6,22,106,88
sensor_2,2026-03-12T20:27:36+00:00,21.2,55,71,61
sensor_3,2026-03-12T20:27:36+00:00,20.1,60,148,85
sensor_4,2026-03-12T20:27:36+00:00,37.6,90,186,47
sensor_5,2026-03-12T20:27:36+00:00,37.7,63,131,93
sensor_1,2026-03-12T20:27:39+00:00,37.0,41,111,48
sensor_2,2026-03-12T20:27:39+00:00,18.6,67,100,31
sensor_3,2026-03-12T20:27:39+00:00,24.2,23,168,87
sensor_4,2026-03-12T20:27:39+00:00,34.0,51,24,84
sensor_5,2026-03-12T20:27:39+00:00,26.8,29,138,58
sensor_1,2026-03-12T20:27:41+00:00,39.7,32,182,78
sensor_2,2026-03-12T20:27:41+00:00,26.3,69,210,73
sensor_3,2026-03-12T20:27:41+00:00,39.7,29,47,59
sensor_4,2026-03-12T20:27:41+00:00,21.3,70,167,86
sensor_5,2026-03-12T20:27:41+00:00,24.7,49,52,53
sensor_1,2026-03-12T20:27:43+00:00,30.9,51,202,81
sensor_2,2026-03-12T20:27:43+00:00,25.6,37,66,49
sensor_3,2026-03-12T20:27:43+00:00,31.0,72,98,65
sensor_4,2026-03-12T20:27:43+00:00,22.9,22,161,74
sensor_5,2026-03-12T20:27:43+00:00,18.8,82,162,81
sensor_1,2026-03-12T20:27:45+00:00,38.4,68,81,35
sensor_2,2026-03-12T20:27:45+00:00,26.0,67,117,38
